stage,frame,token,input_cycle,output_cycle,elapsed_cycles
block0,10,14,170280,175215,4935
block1,10,14,175215,178091,2876
patch_queue,10,15,168309,169295,986
embedding,10,15,169295,171267,1972
block0,10,15,171267,176202,4935
block1,10,15,176202,179078,2876
head_hidden_first_token,10,0,164273,182371,18098
head_hidden_last_token,10,15,179078,182371,3293
head_output,10,0,182371,183113,742
serializer,10,0,183113,183171,58
patch_queue,11,0,169296,170282,986
embedding,11,0,170282,172254,1972
block0,11,0,172254,177189,4935
block1,11,0,177189,180065,2876
patch_queue,11,1,170283,171269,986
embedding,11,1,171269,173241,1972
block0,11,1,173241,178176,4935
block1,11,1,178176,181052,2876
patch_queue,11,2,171270,172256,986
embedding,11,2,172256,174228,1972
block0,11,2,174228,179163,4935
block1,11,2,179163,182039,2876
patch_queue,11,3,172257,173243,986
embedding,11,3,173243,175215,1972
block0,11,3,175215,180150,4935
block1,11,3,180150,183026,2876
patch_queue,11,4,173244,174230,986
embedding,11,4,174230,176202,1972
block0,11,4,176202,181137,4935
block1,11,4,181137,184013,2876
patch_queue,11,5,174231,175217,986
embedding,11,5,175217,177189,1972
block0,11,5,177189,182124,4935
block1,11,5,182124,185000,2876
patch_queue,11,6,175218,176204,986
embedding,11,6,176204,178176,1972
block0,11,6,178176,183111,4935
block1,11,6,183111,185987,2876
patch_queue,11,7,176205,177191,986
embedding,11,7,177191,179163,1972
block0,11,7,179163,184098,4935
block1,11,7,184098,186974,2876
patch_queue,11,8,177192,178178,986
embedding,11,8,178178,180150,1972
block0,11,8,180150,185085,4935
block1,11,8,185085,187961,2876
patch_queue,11,9,178179,179165,986
embedding,11,9,179165,181137,1972
block0,11,9,181137,186072,4935
block1,11,9,186072,188948,2876
patch_queue,11,10,179166,180152,986
embedding,11,10,180152,182124,1972
block0,11,10,182124,187059,4935
block1,11,10,187059,189935,2876
patch_queue,11,11,180153,181139,986
embedding,11,11,181139,183111,1972
block0,11,11,183111,188046,4935
block1,11,11,188046,190922,2876
patch_queue,11,12,181140,182126,986
embedding,11,12,182126,184098,1972
block0,11,12,184098,189033,4935
block1,11,12,189033,191909,2876
patch_queue,11,13,182127,183113,986
embedding,11,13,183113,185085,1972
block0,11,13,185085,190020,4935
block1,11,13,190020,192896,2876
patch_queue,11,14,183114,184100,986
embedding,11,14,184100,186072,1972
block0,11,14,186072,191007,4935
block1,11,14,191007,193883,2876
patch_queue,11,15,184101,185087,986
embedding,11,15,185087,187059,1972
block0,11,15,187059,191994,4935
block1,11,15,191994,194870,2876
head_hidden_first_token,11,0,180065,198163,18098
head_hidden_last_token,11,15,194870,198163,3293
head_output,11,0,198163,198905,742
serializer,11,0,198905,198963,58
patch_queue,12,0,185088,186074,986
embedding,12,0,186074,188046,1972
block0,12,0,188046,192981,4935
block1,12,0,192981,195857,2876
