stage,frame,token,input_cycle,output_cycle,elapsed_cycles
head_hidden_last_token,10,15,108665,111958,3293
head_output,10,0,111958,112700,742
serializer,10,0,112700,112758,58
patch_queue,11,0,102172,102761,589
embedding,11,0,102761,103939,1178
block0,11,0,103939,106893,2954
block1,11,0,106893,109257,2364
patch_queue,11,1,102762,103351,589
embedding,11,1,103351,104531,1180
block0,11,1,104531,107483,2952
block1,11,1,107483,109847,2364
patch_queue,11,2,103352,103941,589
embedding,11,2,103941,105121,1180
block0,11,2,105121,108073,2952
block1,11,2,108073,110437,2364
patch_queue,11,3,103942,104533,591
embedding,11,3,104533,105711,1178
block0,11,3,105711,108663,2952
block1,11,3,108663,111027,2364
patch_queue,11,4,104534,105123,589
embedding,11,4,105123,106301,1178
block0,11,4,106301,109255,2954
block1,11,4,109255,111619,2364
patch_queue,11,5,105124,105713,589
embedding,11,5,105713,106893,1180
block0,11,5,106893,109845,2952
block1,11,5,109845,112209,2364
patch_queue,11,6,105714,106303,589
embedding,11,6,106303,107483,1180
block0,11,6,107483,110435,2952
block1,11,6,110435,112799,2364
patch_queue,11,7,106304,106895,591
embedding,11,7,106895,108073,1178
block0,11,7,108073,111025,2952
block1,11,7,111025,113389,2364
patch_queue,11,8,106896,107485,589
embedding,11,8,107485,108663,1178
block0,11,8,108663,111617,2954
block1,11,8,111617,113981,2364
patch_queue,11,9,107486,108075,589
embedding,11,9,108075,109255,1180
block0,11,9,109255,112207,2952
block1,11,9,112207,114571,2364
patch_queue,11,10,108076,108665,589
embedding,11,10,108665,109845,1180
block0,11,10,109845,112797,2952
block1,11,10,112797,115161,2364
patch_queue,11,11,108666,109257,591
embedding,11,11,109257,110435,1178
block0,11,11,110435,113387,2952
block1,11,11,113387,115751,2364
patch_queue,11,12,109258,109847,589
embedding,11,12,109847,111025,1178
block0,11,12,111025,113979,2954
block1,11,12,113979,116343,2364
patch_queue,11,13,109848,110437,589
embedding,11,13,110437,111617,1180
block0,11,13,111617,114569,2952
block1,11,13,114569,116933,2364
patch_queue,11,14,110438,111027,589
embedding,11,14,111027,112207,1180
block0,11,14,112207,115159,2952
block1,11,14,115159,117523,2364
patch_queue,11,15,111028,111619,591
embedding,11,15,111619,112797,1178
block0,11,15,112797,115749,2952
block1,11,15,115749,118113,2364
head_hidden_first_token,11,0,109257,121406,12149
head_hidden_last_token,11,15,118113,121406,3293
head_output,11,0,121406,122148,742
serializer,11,0,122148,122206,58
patch_queue,12,0,111620,112209,589
embedding,12,0,112209,113387,1178
block0,12,0,113387,116341,2954
block1,12,0,116341,118705,2364
