---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 351 | train MSE 0.008021 m2 | val MAE 6.2737 cm | val RMSE 8.5444 cm | 10.66 s *
Epoch 352 | train MSE 0.008019 m2 | val MAE 6.2933 cm | val RMSE 8.5579 cm | 10.47 s
Epoch 353 | train MSE 0.008017 m2 | val MAE 6.2880 cm | val RMSE 8.5526 cm | 10.56 s
Epoch 354 | train MSE 0.008018 m2 | val MAE 6.2889 cm | val RMSE 8.5517 cm | 10.59 s
Epoch 355 | train MSE 0.008023 m2 | val MAE 6.2752 cm | val RMSE 8.5447 cm | 10.61 s
Epoch 356 | train MSE 0.008015 m2 | val MAE 6.2742 cm | val RMSE 8.5451 cm | 11.20 s
Epoch 357 | train MSE 0.008016 m2 | val MAE 6.2817 cm | val RMSE 8.5421 cm | 11.47 s *
Epoch 358 | train MSE 0.008014 m2 | val MAE 6.2799 cm | val RMSE 8.5457 cm | 10.83 s
Epoch 359 | train MSE 0.008015 m2 | val MAE 6.2718 cm | val RMSE 8.5435 cm | 10.72 s
Epoch 360 | train MSE 0.008016 m2 | val MAE 6.2748 cm | val RMSE 8.5445 cm | 11.23 s
Epoch 361 | train MSE 0.008020 m2 | val MAE 6.2756 cm | val RMSE 8.5423 cm | 11.41 s
Epoch 362 | train MSE 0.008012 m2 | val MAE 6.2777 cm | val RMSE 8.5403 cm | 10.85 s *
Epoch 363 | train MSE 0.008016 m2 | val MAE 6.2734 cm | val RMSE 8.5426 cm | 11.97 s
Epoch 364 | train MSE 0.008016 m2 | val MAE 6.2790 cm | val RMSE 8.5448 cm | 11.33 s
Epoch 365 | train MSE 0.008010 m2 | val MAE 6.2739 cm | val RMSE 8.5387 cm | 11.17 s *
Epoch 366 | train MSE 0.008010 m2 | val MAE 6.2764 cm | val RMSE 8.5425 cm | 11.53 s
Epoch 367 | train MSE 0.008009 m2 | val MAE 6.2779 cm | val RMSE 8.5422 cm | 11.36 s
Epoch 368 | train MSE 0.008009 m2 | val MAE 6.2766 cm | val RMSE 8.5420 cm | 11.31 s
Epoch 369 | train MSE 0.008010 m2 | val MAE 6.2781 cm | val RMSE 8.5446 cm | 10.91 s
Epoch 370 | train MSE 0.008008 m2 | val MAE 6.2767 cm | val RMSE 8.5406 cm | 11.50 s
Epoch 371 | train MSE 0.008007 m2 | val MAE 6.2786 cm | val RMSE 8.5459 cm | 12.57 s
Epoch 372 | train MSE 0.008011 m2 | val MAE 6.2708 cm | val RMSE 8.5385 cm | 11.75 s *
Epoch 373 | train MSE 0.008009 m2 | val MAE 6.2850 cm | val RMSE 8.5474 cm | 11.96 s
Epoch 374 | train MSE 0.008005 m2 | val MAE 6.2744 cm | val RMSE 8.5424 cm | 12.07 s
Epoch 375 | train MSE 0.008001 m2 | val MAE 6.2771 cm | val RMSE 8.5413 cm | 12.01 s
Epoch 376 | train MSE 0.008001 m2 | val MAE 6.2791 cm | val RMSE 8.5412 cm | 11.01 s
Epoch 377 | train MSE 0.008000 m2 | val MAE 6.2667 cm | val RMSE 8.5371 cm | 10.95 s *
Epoch 378 | train MSE 0.008000 m2 | val MAE 6.2723 cm | val RMSE 8.5364 cm | 11.05 s *
Epoch 379 | train MSE 0.007999 m2 | val MAE 6.2739 cm | val RMSE 8.5400 cm | 11.87 s
Epoch 380 | train MSE 0.007999 m2 | val MAE 6.2743 cm | val RMSE 8.5418 cm | 11.13 s
Epoch 381 | train MSE 0.007998 m2 | val MAE 6.2761 cm | val RMSE 8.5402 cm | 10.76 s
Epoch 382 | train MSE 0.007999 m2 | val MAE 6.2751 cm | val RMSE 8.5402 cm | 11.40 s
Epoch 383 | train MSE 0.007998 m2 | val MAE 6.2776 cm | val RMSE 8.5384 cm | 13.28 s
Epoch 384 | train MSE 0.007998 m2 | val MAE 6.2789 cm | val RMSE 8.5400 cm | 11.51 s
Epoch 385 | train MSE 0.007997 m2 | val MAE 6.2700 cm | val RMSE 8.5372 cm | 12.54 s
Epoch 386 | train MSE 0.007998 m2 | val MAE 6.2746 cm | val RMSE 8.5373 cm | 10.83 s
Epoch 387 | train MSE 0.007995 m2 | val MAE 6.2708 cm | val RMSE 8.5370 cm | 11.02 s
Epoch 388 | train MSE 0.007995 m2 | val MAE 6.2725 cm | val RMSE 8.5374 cm | 11.24 s
Epoch 389 | train MSE 0.007994 m2 | val MAE 6.2711 cm | val RMSE 8.5370 cm | 13.01 s
Epoch 390 | train MSE 0.007995 m2 | val MAE 6.2720 cm | val RMSE 8.5386 cm | 13.61 s
Epoch 391 | train MSE 0.007994 m2 | val MAE 6.2731 cm | val RMSE 8.5378 cm | 11.12 s
Epoch 392 | train MSE 0.007994 m2 | val MAE 6.2735 cm | val RMSE 8.5386 cm | 11.65 s
