event,ordinal,token,cycle,group,item
response,128,0,81659,6,9
accumulate,128,0,81660,6,7
combine,128,0,81660,6,8
dispatch,128,0,81660,6,13
multiply,128,0,81660,6,9
read,128,0,81660,6,14
response,128,0,81660,6,10
accumulate,128,0,81661,6,8
combine,128,0,81661,6,9
dispatch,128,0,81661,6,14
multiply,128,0,81661,6,10
read,128,0,81661,6,15
response,128,0,81661,6,11
accumulate,128,0,81662,6,9
chunk,128,0,81662,6,1
combine,128,0,81662,6,10
dispatch,128,0,81662,6,15
multiply,128,0,81662,6,11
response,128,0,81662,6,12
accumulate,128,0,81663,6,10
combine,128,0,81663,6,11
multiply,128,0,81663,6,12
read,128,0,81663,6,16
response,128,0,81663,6,13
accumulate,128,0,81664,6,11
combine,128,0,81664,6,12
dispatch,128,0,81664,6,16
multiply,128,0,81664,6,13
read,128,0,81664,6,17
response,128,0,81664,6,14
accumulate,128,0,81665,6,12
combine,128,0,81665,6,13
dispatch,128,0,81665,6,17
multiply,128,0,81665,6,14
read,128,0,81665,6,18
response,128,0,81665,6,15
accumulate,128,0,81666,6,13
combine,128,0,81666,6,14
dispatch,128,0,81666,6,18
multiply,128,0,81666,6,15
read,128,0,81666,6,19
accumulate,128,0,81667,6,14
combine,128,0,81667,6,15
dispatch,128,0,81667,6,19
response,128,0,81667,6,16
accumulate,128,0,81668,6,15
multiply,128,0,81668,6,16
response,128,0,81668,6,17
combine,128,0,81669,6,16
multiply,128,0,81669,6,17
response,128,0,81669,6,18
accumulate,128,0,81670,6,16
combine,128,0,81670,6,17
multiply,128,0,81670,6,18
response,128,0,81670,6,19
accumulate,128,0,81671,6,17
combine,128,0,81671,6,18
multiply,128,0,81671,6,19
accumulate,128,0,81672,6,18
combine,128,0,81672,6,19
last,128,0,81673,6,19
bias,128,0,81674,6,-1
restart,128,0,81674,6,-1
add,128,0,81675,6,-1
group,128,0,81675,7,-1
chunk,128,0,81676,7,0
round,128,0,81676,6,-1
collect,128,0,81677,6,-1
read,128,0,81677,7,0
dispatch,128,0,81678,7,0
read,128,0,81678,7,1
dispatch,128,0,81679,7,1
read,128,0,81679,7,2
dispatch,128,0,81680,7,2
read,128,0,81680,7,3
dispatch,128,0,81681,7,3
read,128,0,81681,7,4
response,128,0,81681,7,0
dispatch,128,0,81682,7,4
multiply,128,0,81682,7,0
read,128,0,81682,7,5
response,128,0,81682,7,1
combine,128,0,81683,7,0
dispatch,128,0,81683,7,5
multiply,128,0,81683,7,1
read,128,0,81683,7,6
response,128,0,81683,7,2
accumulate,128,0,81684,7,0
combine,128,0,81684,7,1
dispatch,128,0,81684,7,6
multiply,128,0,81684,7,2
read,128,0,81684,7,7
response,128,0,81684,7,3
accumulate,128,0,81685,7,1
combine,128,0,81685,7,2
dispatch,128,0,81685,7,7
multiply,128,0,81685,7,3
read,128,0,81685,7,8
response,128,0,81685,7,4
accumulate,128,0,81686,7,2
combine,128,0,81686,7,3
dispatch,128,0,81686,7,8
multiply,128,0,81686,7,4
read,128,0,81686,7,9
response,128,0,81686,7,5
accumulate,128,0,81687,7,3
combine,128,0,81687,7,4
dispatch,128,0,81687,7,9
multiply,128,0,81687,7,5
read,128,0,81687,7,10
response,128,0,81687,7,6
accumulate,128,0,81688,7,4
combine,128,0,81688,7,5
dispatch,128,0,81688,7,10
multiply,128,0,81688,7,6
read,128,0,81688,7,11
response,128,0,81688,7,7
accumulate,128,0,81689,7,5
combine,128,0,81689,7,6
dispatch,128,0,81689,7,11
multiply,128,0,81689,7,7
read,128,0,81689,7,12
response,128,0,81689,7,8
accumulate,128,0,81690,7,6
combine,128,0,81690,7,7
